"sAMAccountName","Enabled","created","LastLogonDate","Company","department","homephone"
"111154","True","25/03/2015 20:42:07","20/01/2017 02:03:39","F01 - Usina","1112208 - FERMENT BAND PETIT","111154"
"121892","True","30/07/2014 09:04:12","12/12/2014 14:52:00","F22 - Ivoti","1513303 - EXPEDICAO F22","121892"
"123049","True","31/03/2015 16:03:48","30/01/2017 14:24:41","F01 - Usina","1112210 - FERMENT GARRAFAS","123049"
"122666","True","30/07/2014 09:19:14","25/01/2017 17:11:00","F22 - Ivoti","1513303 - EXPEDICAO F22","122666"
"123053","True","29/07/2014 19:17:29","24/08/2016 15:06:59","F22 - Ivoti","1513303 - EXPEDICAO F22","123053"
"129219","True","07/04/2015 11:28:22","19/12/2016 14:29:31","F22 - Ivoti","1513303 - EXPEDICAO F22","129219"
"122239","True","30/07/2014 08:57:30","30/01/2017 14:19:39","F22 - Ivoti","1513303 - EXPEDICAO F22","122239"
"029472","True","28/04/2015 16:03:51","25/01/2017 17:02:50","F01 - Usina","1111111 - SUPERV LATIC NP","29472"
"121924","True","30/07/2014 08:18:43","05/01/2015 13:41:20","F22 - Ivoti","1513303 - EXPEDICAO F22","121924"
"129915","True","19/05/2015 22:24:12","05/03/2016 00:58:01","F22 - Ivoti","1513303 - EXPEDICAO F22","129915"
"121897","True","30/07/2014 08:12:02","30/10/2015 13:41:14","F22 - Ivoti","1513303 - EXPEDICAO F22","121897"
"129722","True","19/05/2015 22:38:42","05/12/2016 21:38:22","F22 - Ivoti","1513303 - EXPEDICAO F22","129722"
"126098","True","26/05/2015 17:05:46","24/01/2017 11:18:29","F01 - Usina","1112211 - FERMENT COPOS","126098"
"137734","True","04/01/2017 14:36:07","05/01/2017 04:36:32","F01 - Usina","1111105 - ALMOXARIFADO",
"115060","True","29/07/2014 18:49:37","07/08/2014 14:31:05","F22 - Ivoti","1513303 - EXPEDICAO F22","115060"
"124085","True","18/03/2015 14:55:15",,"F01 - Usina","1112212 - TETRA TOP ENVASE","124085"
"062305","True","18/03/2015 16:24:49",,"F01 - Usina","1112202 - UHT SIG","62305"
